"GEO_ID","NAME","B08203_001E","B08203_001M","B08203_002E","B08203_002M","B08203_003E","B08203_003M","B08203_004E","B08203_004M","B08203_005E","B08203_005M","B08203_006E","B08203_006M","B08203_007E","B08203_007M","B08203_008E","B08203_008M","B08203_009E","B08203_009M","B08203_010E","B08203_010M","B08203_011E","B08203_011M","B08203_012E","B08203_012M","B08203_013E","B08203_013M","B08203_014E","B08203_014M","B08203_015E","B08203_015M","B08203_016E","B08203_016M","B08203_017E","B08203_017M","B08203_018E","B08203_018M","B08203_019E","B08203_019M","B08203_020E","B08203_020M","B08203_021E","B08203_021M","B08203_022E","B08203_022M","B08203_023E","B08203_023M","B08203_024E","B08203_024M","B08203_025E","B08203_025M","B08203_026E","B08203_026M","B08203_027E","B08203_027M","B08203_028E","B08203_028M","B08203_029E","B08203_029M","B08203_030E","B08203_030M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No vehicle available","Margin of Error!!Total:!!No vehicle available","Estimate!!Total:!!1 vehicle available","Margin of Error!!Total:!!1 vehicle available","Estimate!!Total:!!2 vehicles available","Margin of Error!!Total:!!2 vehicles available","Estimate!!Total:!!3 vehicles available","Margin of Error!!Total:!!3 vehicles available","Estimate!!Total:!!4 or more vehicles available","Margin of Error!!Total:!!4 or more vehicles available","Estimate!!Total:!!No workers:","Margin of Error!!Total:!!No workers:","Estimate!!Total:!!No workers:!!No vehicle available","Margin of Error!!Total:!!No workers:!!No vehicle available","Estimate!!Total:!!No workers:!!1 vehicle available","Margin of Error!!Total:!!No workers:!!1 vehicle available","Estimate!!Total:!!No workers:!!2 vehicles available","Margin of Error!!Total:!!No workers:!!2 vehicles available","Estimate!!Total:!!No workers:!!3 vehicles available","Margin of Error!!Total:!!No workers:!!3 vehicles available","Estimate!!Total:!!No workers:!!4 or more vehicles available","Margin of Error!!Total:!!No workers:!!4 or more vehicles available","Estimate!!Total:!!1 worker:","Margin of Error!!Total:!!1 worker:","Estimate!!Total:!!1 worker:!!No vehicle available","Margin of Error!!Total:!!1 worker:!!No vehicle available","Estimate!!Total:!!1 worker:!!1 vehicle available","Margin of Error!!Total:!!1 worker:!!1 vehicle available","Estimate!!Total:!!1 worker:!!2 vehicles available","Margin of Error!!Total:!!1 worker:!!2 vehicles available","Estimate!!Total:!!1 worker:!!3 vehicles available","Margin of Error!!Total:!!1 worker:!!3 vehicles available","Estimate!!Total:!!1 worker:!!4 or more vehicles available","Margin of Error!!Total:!!1 worker:!!4 or more vehicles available","Estimate!!Total:!!2 workers:","Margin of Error!!Total:!!2 workers:","Estimate!!Total:!!2 workers:!!No vehicle available","Margin of Error!!Total:!!2 workers:!!No vehicle available","Estimate!!Total:!!2 workers:!!1 vehicle available","Margin of Error!!Total:!!2 workers:!!1 vehicle available","Estimate!!Total:!!2 workers:!!2 vehicles available","Margin of Error!!Total:!!2 workers:!!2 vehicles available","Estimate!!Total:!!2 workers:!!3 vehicles available","Margin of Error!!Total:!!2 workers:!!3 vehicles available","Estimate!!Total:!!2 workers:!!4 or more vehicles available","Margin of Error!!Total:!!2 workers:!!4 or more vehicles available","Estimate!!Total:!!3 or more workers:","Margin of Error!!Total:!!3 or more workers:","Estimate!!Total:!!3 or more workers:!!No vehicle available","Margin of Error!!Total:!!3 or more workers:!!No vehicle available","Estimate!!Total:!!3 or more workers:!!1 vehicle available","Margin of Error!!Total:!!3 or more workers:!!1 vehicle available","Estimate!!Total:!!3 or more workers:!!2 vehicles available","Margin of Error!!Total:!!3 or more workers:!!2 vehicles available","Estimate!!Total:!!3 or more workers:!!3 vehicles available","Margin of Error!!Total:!!3 or more workers:!!3 vehicles available","Estimate!!Total:!!3 or more workers:!!4 or more vehicles available","Margin of Error!!Total:!!3 or more workers:!!4 or more vehicles available",
"1400000US13121001901","Census Tract 19.01; Fulton County; Georgia","101","65","0","14","29","30","42","46","30","44","0","14","19","29","0","14","19","29","0","14","0","14","0","14","31","41","0","14","5","8","26","40","0","14","0","14","21","21","0","14","5","7","16","19","0","14","0","14","30","44","0","14","0","14","0","14","30","44","0","14",
"1400000US13121001902","Census Tract 19.02; Fulton County; Georgia","1483","253","251","225","987","215","245","117","0","14","0","14","124","93","37","44","87","78","0","14","0","14","0","14","1210","256","214","222","854","209","142","98","0","14","0","14","149","105","0","14","46","77","103","73","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1400000US13121002100","Census Tract 21; Fulton County; Georgia","1744","247","263","157","1010","246","401","163","70","69","0","14","164","99","109","88","41","38","14","21","0","14","0","14","1204","286","154","128","904","242","146","86","0","14","0","14","367","141","0","14","56","50","241","134","70","69","0","14","9","14","0","14","9","14","0","14","0","14","0","14",
"1400000US13121002300","Census Tract 23; Fulton County; Georgia","567","145","169","95","236","106","116","65","39","42","7","9","225","102","162","94","24","26","0","14","39","42","0","14","296","104","0","14","200","102","89","60","0","14","7","9","22","23","7","15","12","19","3","13","0","14","0","14","24","33","0","14","0","14","24","33","0","14","0","14",
"1400000US13121002400","Census Tract 24; Fulton County; Georgia","1012","181","191","106","420","170","169","105","208","105","24","39","382","182","154","94","201","147","27","38","0","14","0","14","353","131","22","39","198","102","51","79","82","74","0","14","216","108","15","20","21","34","91","78","65","66","24","39","61","65","0","14","0","14","0","14","61","65","0","14",
"1400000US13121002500","Census Tract 25; Fulton County; Georgia","1261","211","628","222","350","165","197","99","79","66","7","15","471","204","371","192","71","57","22","38","0","14","7","15","581","206","167","154","279","160","90","89","45","52","0","14","192","82","90","78","0","14","85","65","17","29","0","14","17","26","0","14","0","14","0","14","17","26","0","14",
"1400000US13121002600","Census Tract 26; Fulton County; Georgia","410","86","207","77","143","63","24","24","28","27","8","11","151","47","109","46","42","31","0","14","0","14","0","14","171","82","81","78","68","46","22","23","0","14","0","14","80","61","17","26","33","45","2","9","28","27","0","14","8","11","0","14","0","14","0","14","0","14","8","11",
"1400000US13121002801","Census Tract 28.01; Fulton County; Georgia","943","159","129","92","605","146","170","84","0","14","39","58","225","114","52","29","133","77","1","2","0","14","39","58","580","149","77","87","438","140","65","54","0","14","0","14","104","56","0","14","18","2","86","56","0","14","0","14","34","28","0","14","16","2","18","28","0","14","0","14",
"1400000US13121002802","Census Tract 28.02; Fulton County; Georgia","819","122","401","108","337","111","81","81","0","14","0","14","463","122","357","103","106","77","0","14","0","14","0","14","272","102","44","37","212","96","16","23","0","14","0","14","63","78","0","14","0","14","63","78","0","14","0","14","21","33","0","14","19","28","2","15","0","14","0","14",
"1400000US13121002900","Census Tract 29; Fulton County; Georgia","1533","146","128","99","1021","171","347","113","28","26","9","14","64","62","0","14","64","62","0","14","0","14","0","14","1054","201","94","85","881","183","71","44","8","12","0","14","375","124","23","37","76","55","276","114","0","14","0","14","40","32","11","17","0","14","0","14","20","24","9","14",
"1400000US13121003000","Census Tract 30; Fulton County; Georgia","2314","251","117","90","1117","223","863","280","150","63","67","74","182","82","0","14","142","84","21","29","19","27","0","14","1099","202","28","35","870","207","114","85","61","49","26","41","957","274","89","81","105","78","684","271","38","44","41","62","76","67","0","14","0","14","44","53","32","43","0","14",
"1400000US13121003100","Census Tract 31; Fulton County; Georgia","1574","289","488","290","596","197","444","134","10","17","36","38","223","166","91","135","132","130","0","14","0","14","0","14","787","333","356","281","387","180","26","30","0","14","18","27","536","135","41","47","77","59","418","128","0","14","0","14","28","35","0","14","0","14","0","14","10","17","18","29",
"1400000US13121003200","Census Tract 32; Fulton County; Georgia","1903","233","60","52","1135","240","641","168","41","46","26","29","131","55","0","14","116","53","15","24","0","14","0","14","1092","239","41","42","866","214","159","89","0","14","26","29","653","167","19","30","153","83","451","156","30","43","0","14","27","26","0","14","0","14","16","17","11","19","0","14",
"1400000US13121003500","Census Tract 35; Fulton County; Georgia","1653","372","562","361","665","328","403","216","23","25","0","14","323","207","189","225","56","70","78","122","0","14","0","14","956","345","373","283","500","286","83","87","0","14","0","14","374","224","0","14","109","122","242","196","23","25","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1400000US13121003600","Census Tract 36; Fulton County; Georgia","765","266","176","79","444","257","118","89","14","21","13","18","224","66","102","51","88","63","34","54","0","14","0","14","493","272","74","74","356","258","49","62","14","21","0","14","35","39","0","14","0","14","35","39","0","14","0","14","13","18","0","14","0","14","0","14","0","14","13","18",
"1400000US13121003700","Census Tract 37; Fulton County; Georgia","173","97","121","87","39","30","13","21","0","14","0","14","133","90","112","86","21","22","0","14","0","14","0","14","27","24","9","14","18","20","0","14","0","14","0","14","13","21","0","14","0","14","13","21","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1400000US13121003800","Census Tract 38; Fulton County; Georgia","210","113","26","35","74","57","110","98","0","14","0","14","136","111","0","14","45","59","91","96","0","14","0","14","67","40","19","33","29","27","19","23","0","14","0","14","7","10","7","10","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1400000US13121003900","Census Tract 39; Fulton County; Georgia","691","121","119","55","445","160","106","53","8","17","13","21","222","75","84","40","131","85","7","11","0","14","0","14","309","102","35","39","224","111","37","37","0","14","13","21","109","58","0","14","39","47","62","36","8","17","0","14","51","81","0","14","51","81","0","14","0","14","0","14",
"1400000US13121004000","Census Tract 40; Fulton County; Georgia","1116","145","97","62","443","160","457","116","71","49","48","56","346","118","82","68","187","112","22","37","15","22","40","55","354","110","0","14","120","71","228","111","6","10","0","14","353","131","15","23","136","118","169","71","33","26","0","14","63","52","0","14","0","14","38","44","17","29","8","9",
"1400000US13121004100","Census Tract 41; Fulton County; Georgia","959","174","214","99","233","108","448","179","64","53","0","14","158","64","70","51","62","41","26","28","0","14","0","14","531","170","92","74","167","94","263","163","9","18","0","14","224","91","52","48","4","9","144","73","24","23","0","14","46","41","0","14","0","14","15","20","31","39","0","14",
"1400000US13121004200","Census Tract 42; Fulton County; Georgia","1378","222","516","130","699","262","65","66","78","80","20","30","567","191","367","113","178","163","22","40","0","14","0","14","664","231","100","86","521","229","4","6","39","73","0","14","98","87","0","14","0","14","39","62","39","33","20","30","49","52","49","52","0","14","0","14","0","14","0","14",
"1400000US13121004300","Census Tract 43; Fulton County; Georgia","632","153","137","66","444","153","31","32","20","29","0","14","126","94","29","31","71","81","26","32","0","14","0","14","399","139","108","72","291","131","0","14","0","14","0","14","50","40","0","14","25","35","5","7","20","29","0","14","57","75","0","14","57","75","0","14","0","14","0","14",
